권역코드,권역명,공시월,금융회사 코드,금융회사,금융상품 코드,상품명,저축기간(개월),금리유형 코드,금리유형명,세전 이자율,세후 이자율,세후 이자(예시),최고 우대금리,가입방법,가입제한 코드,가입 대상,이자계산방식,금융상품 문의,우대조건,만기 후 이자율,기타 유의사항,최고한도,공시 시작일,공시 종료일,금융회사 제출일,데이터 출처,수집일시
020000,은행,202607,0010016,아이엠뱅크,10511008001166004,iM함께예금,12,S,단리,3.10%,2.62%,"262,000",3.55%,"영업점,인터넷,스마트폰",1,제한없음 (실명의 개인 및 개인사업자),단리,,"* 최고우대금리: 연0.45%p - 전월 총수신 평잔 30만원 이상 또는 상품 가입 전 첫만남플러스통장 보유 - 상품 가입 전 당행 주택청약상품 보유 - 신규일 ""iM함께적금"" 동시 가입 및 만기(12회 불입) 보유 - 당행 오픈뱅킹서비스에 다른 은행 계좌 등록 각 연0.10%p * 해당 상품을 인터넷/모바일뱅킹을 통해 가입: 연0.05%p",만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,1,S,단리,2.40%,2.03%,"17,000",2.45%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,3,S,단리,2.95%,2.50%,"62,000",3.00%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,6,S,단리,2.95%,2.50%,"125,000",3.20%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,12,S,단리,3.30%,2.79%,"279,000",3.55%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,24,S,단리,2.90%,2.45%,"491,000",3.15%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010016,아이엠뱅크,10511008001278000,iM스마트예금,36,S,단리,2.90%,2.45%,"736,000",3.15%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 최고우대금리 : 연0.25%p - 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시 ① 당행 주택청약종합저축 보유 ② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준) * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p,만기 후 1개월 미만 경과 : 약정이자율 x 50% 만기 후 3개월 미만 경과 : 약정이자율 x 25% 만기 후 3개월 이상 경과 : 약정이자율 x 10%,계좌당 가입 최저한도 : 100만원,,20260728,,202607280904,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,1,S,단리,1.80%,1.52%,"13,000",1.80%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,3,S,단리,2.00%,1.69%,"42,000",2.60%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,6,S,단리,2.10%,1.78%,"89,000",2.70%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
