source_id,category,term,term_no_space,normalized_term,duplicate_by_source_id,duplicate_by_term_exact,duplicate_by_term_no_space,duplicate_by_normalized_term
1701,공공,실업 급여,실업급여,실업급여,False,False,True,True
1702,공공,실업급여,실업급여,실업급여,False,False,True,True
